dataset,tube_method,tube_cal_picp,tube_cal_mpiw,tube_test_picp,tube_test_mpiw,tube_q_hat,quantile_method,quantile_cal_picp,quantile_cal_mpiw,quantile_test_picp,quantile_test_mpiw,quantile_q_hat
synthetic,Tube Loss,0.9,2.5112900733947754,0.89,2.506007432937622,,Pinball Loss,0.902,2.614015579223633,0.908,2.6138548851013184,
synthetic,TCQR,0.902,2.5461156368255615,0.894,2.5408332347869873,0.017412841320037842,CQR,0.902,2.5913443565368652,0.902,2.591183662414551,-0.011335611343383789
synthetic,TCQR-r,0.902,2.5461721420288086,0.894,2.540815830230713,0.0069450559094548225,CQR-r,0.902,2.5915653705596924,0.902,2.5914063453674316,-0.004294152371585369
synthetic,UATCQR-S,0.902,2.8367664424849925,0.908,2.8278544261957332,-0.3344327714171091,UACQR-S,0.902,3.044783009639128,0.916,3.095005183289998,0.2721025812317375
synthetic,UATCQR-P,0.916,4.876462721946691,0.926,4.891595364377989,36.0,UACQR-P,0.904,5.169298799826083,0.918,5.249386434630095,39.0
boston,Tube Loss,0.900990099009901,24.609041213989258,0.8431372549019608,24.3802433013916,,Pinball Loss,0.9108910891089109,27.11106300354004,0.8921568627450981,27.70828628540039,
boston,TCQR,0.9108910891089109,25.081092834472656,0.8725490196078431,24.852296829223633,0.23602581024169922,CQR,0.9108910891089109,26.931161880493164,0.8823529411764706,27.528385162353516,-0.0899505615234375
boston,TCQR-r,0.9108910891089109,25.078739166259766,0.8725490196078431,24.845579147338867,0.0095432223752141,CQR-r,0.9108910891089109,26.94228172302246,0.8823529411764706,27.535785675048828,-0.003112831385806203
boston,UATCQR-S,0.9108910891089109,28.575595887908545,0.8333333333333334,28.38970674990849,-0.08685747841892383,UACQR-S,0.9108910891089109,24.359691162534897,0.8725490196078431,24.81733962994549,0.19132138104188062
boston,UATCQR-P,0.9108910891089109,29.042121414790966,0.803921568627451,28.815650947952815,21.0,UACQR-P,1.0,inf,1.0,inf,51.0
concrete,Tube Loss,0.9029126213592233,43.15339660644531,0.883495145631068,42.90377426147461,,Pinball Loss,0.9368932038834952,62.96624755859375,0.9466019417475728,63.55210876464844,
