dataset,family,method_name,q_hat_or_t_hat,cal_picp,cal_mpiw,test_picp,test_mpiw,target_t,opt_delta,run_ensembles,ensemble_B,ensemble_mode
protein,Quantile,Pinball Loss,,0.9027990378307457,16.588272094726562,0.8986442160507325,16.572460174560547,0.9,0.002,True,50,epoch_snapshots
protein,Tubeloss,TCQR,-0.012598752975463867,0.9001749398644217,17.1838436126709,0.8976601793133611,17.177698135375977,0.9,0.002,True,50,epoch_snapshots
protein,Quantile,CQR,-0.020705759525299072,0.9001749398644217,16.546857833862305,0.8945987316859829,16.531047821044922,0.9,0.002,True,50,epoch_snapshots
protein,Tubeloss,TCQR-r,-0.0007664626464247704,0.9001749398644217,17.182661056518555,0.8975508418980975,17.176523208618164,0.9,0.002,True,50,epoch_snapshots
protein,Quantile,CQR-r,-0.0011176355183124542,0.9001749398644217,16.551191329956055,0.8951454187623005,16.535417556762695,0.9,0.002,True,50,epoch_snapshots
protein,Tubeloss,UATCQR-S,-0.03650171202055826,0.9001749398644217,17.29215825096145,0.8931773452875574,17.28625230846759,0.9,0.002,True,50,epoch_snapshots
protein,Quantile,UACQR-S,0.5666070978932839,0.9001749398644217,16.32345994230763,0.9000656024491581,16.305297696609276,0.9,0.002,True,50,epoch_snapshots
protein,Tubeloss,UATCQR-P,29.0,0.9002842772796851,17.314262842572465,0.8986442160507325,17.308572658906325,0.9,0.002,True,50,epoch_snapshots
protein,Quantile,UACQR-P,51.0,1.0,inf,1.0,inf,0.9,0.002,True,50,epoch_snapshots
wine,Tubeloss,Tube Loss,,0.903125,2.121518135070801,0.88125,2.1353440284729004,0.9,0.013,True,50,epoch_snapshots
wine,Quantile,Pinball Loss,,0.91875,2.4802958965301514,0.9,2.432053804397583,0.9,0.013,True,50,epoch_snapshots
wine,Tubeloss,TCQR,-0.0003581047058105469,0.903125,2.1208019256591797,0.88125,2.1346275806427,0.9,0.013,True,50,epoch_snapshots
wine,Quantile,CQR,-0.11003541946411133,0.903125,2.2602250576019287,0.8625,2.2119832038879395,0.9,0.013,True,50,epoch_snapshots
wine,Tubeloss,TCQR-r,-0.0001704334863461554,0.903125,2.1207947731018066,0.88125,2.1346161365509033,0.9,0.013,True,50,epoch_snapshots
wine,Quantile,CQR-r,-0.045838482677936554,0.903125,2.2529098987579346,0.8625,2.2090904712677,0.9,0.013,True,50,epoch_snapshots
wine,Tubeloss,UATCQR-S,-0.13236556677296418,0.903125,2.6259131547762338,0.88125,2.6321883477983095,0.9,0.013,True,50,epoch_snapshots
wine,Quantile,UACQR-S,1.5714311432139902,0.903125,3.460627447941762,0.871875,3.421222983093652,0.9,0.013,True,50,epoch_snapshots
wine,Tubeloss,UATCQR-P,1.0,0.903125,2.6476853216411875,0.878125,2.6490876743240257,0.9,0.013,True,50,epoch_snapshots
wine,Quantile,UACQR-P,51.0,1.0,inf,1.0,inf,0.9,0.013,True,50,epoch_snapshots
