dataset,delta,cal_picp,cal_mpiw,conf_picp,conf_mpiw
boston,-0.03,0.9405940594059405,52.87114334106445,0.8431372549019608,51.57559585571289
boston,-0.029,0.9405940594059405,52.280277252197266,0.8431372549019608,51.17843246459961
boston,-0.028,0.9405940594059405,51.52989959716797,0.8431372549019608,50.33054733276367
boston,-0.027,0.9405940594059405,50.8720588684082,0.8431372549019608,49.64544677734375
boston,-0.026,0.9405940594059405,50.24380874633789,0.8431372549019608,48.901641845703125
boston,-0.025,0.9405940594059405,49.444664001464844,0.8431372549019608,48.07707595825195
boston,-0.024,0.9405940594059405,48.76498794555664,0.8431372549019608,47.38811492919922
boston,-0.023,0.9405940594059405,47.81387710571289,0.8431372549019608,46.431053161621094
boston,-0.022,0.9405940594059405,46.8901481628418,0.8431372549019608,45.554683685302734
boston,-0.021,0.9405940594059405,46.127437591552734,0.8431372549019608,44.66437911987305
boston,-0.02,0.9405940594059405,45.31049728393555,0.8431372549019608,43.754356384277344
boston,-0.019,0.9405940594059405,44.46943283081055,0.8431372549019608,43.040496826171875
boston,-0.018,0.9405940594059405,43.69379806518555,0.8431372549019608,42.1044921875
boston,-0.017,0.9405940594059405,42.75162887573242,0.8431372549019608,41.12726593017578
boston,-0.016,0.9405940594059405,41.98550033569336,0.8431372549019608,40.3564453125
boston,-0.015,0.9405940594059405,41.207061767578125,0.8431372549019608,39.54132080078125
boston,-0.014,0.9405940594059405,40.40641784667969,0.8431372549019608,38.7786750793457
boston,-0.013,0.9405940594059405,39.6424674987793,0.8431372549019608,37.894290924072266
boston,-0.012,0.9405940594059405,38.947669982910156,0.8431372549019608,37.18610763549805
boston,-0.011,0.9405940594059405,37.87876510620117,0.8333333333333334,36.120262145996094
boston,-0.01,0.9306930693069307,37.09942626953125,0.8235294117647058,35.30345916748047
boston,-0.009,0.9306930693069307,36.523521423339844,0.8235294117647058,34.69023513793945
boston,-0.008,0.9306930693069307,35.782379150390625,0.8137254901960784,33.953399658203125
boston,-0.007,0.9306930693069307,35.21873474121094,0.8137254901960784,33.361087799072266
boston,-0.006,0.9405940594059405,34.44430923461914,0.8137254901960784,32.49779510498047
boston,-0.005,0.9405940594059405,34.080482482910156,0.8137254901960784,32.187278747558594
boston,-0.004,0.9405940594059405,33.703102111816406,0.8137254901960784,31.77023696899414
boston,-0.003,0.9405940594059405,33.27113723754883,0.803921568627451,31.263750076293945
boston,-0.002,0.9405940594059405,32.88117218017578,0.803921568627451,30.7989444732666
