dataset,tube_method,tube_cal_picp,tube_cal_mpiw,tube_test_picp,tube_test_mpiw,tube_q_hat,quantile_method,quantile_cal_picp,quantile_cal_mpiw,quantile_test_picp,quantile_test_mpiw,quantile_q_hat
wine,UATCQR-S,0.903125,2.1150099174998167,0.878125,2.1289212695710114,-0.04019630949991585,UACQR-S,0.903125,2.2600661313421626,0.86875,2.2124738261511223,-0.4850688107161356
wine,UATCQR-P,0.903125,2.3223978172444135,0.896875,2.3337822022470505,21.0,UACQR-P,0.903125,2.310602617245501,0.88125,2.2714448537741623,26.0
synthetic,Tube Loss,0.9,2.5112900733947754,0.89,2.506007432937622,,Pinball Loss,0.902,2.614015579223633,0.908,2.6138548851013184,
synthetic,TCQR,0.902,2.5461156368255615,0.894,2.5408332347869873,0.017412841320037842,CQR,0.902,2.5913443565368652,0.902,2.591183662414551,-0.011335611343383789
synthetic,TCQR-r,0.902,2.5461721420288086,0.894,2.540815830230713,0.0069450559094548225,CQR-r,0.902,2.5915653705596924,0.902,2.5914063453674316,-0.004294152371585369
synthetic,UATCQR-S,0.902,2.532947216689125,0.89,2.5277794099855946,0.29353413878127144,UACQR-S,0.902,2.606426172833545,0.908,2.606445309335296,-0.3329985043206157
synthetic,UATCQR-P,0.902,2.529907933115692,0.89,2.524773612091645,7.0,UACQR-P,0.902,2.6202386030641796,0.916,2.6224831036795213,38.0
power,Tube Loss,0.9012539184952978,18.0501651763916,0.9028213166144201,18.089027404785156,,Pinball Loss,0.8887147335423198,31.209625244140625,0.880355276907001,31.218332290649414,
power,TCQR,0.9007314524555904,18.04784393310547,0.9028213166144201,18.086706161499023,-0.00115966796875,CQR,0.9007314524555904,31.824005126953125,0.8960292580982236,31.832712173461914,0.30718994140625
power,TCQR-r,0.9007314524555904,18.048187255859375,0.9028213166144201,18.087047576904297,-5.474439240060747e-05,CQR-r,0.9007314524555904,31.916719436645508,0.8970741901776385,31.925626754760742,0.011328146792948246
power,UATCQR-S,0.9007314524555904,18.041216380165995,0.9022988505747126,18.08006438219709,-0.0019105682357086105,UACQR-S,0.9007314524555904,32.69235000805875,0.8960292580982236,32.70266750448826,0.2298759293990632
power,UATCQR-P,0.9017763845350052,22.389730674675153,0.9054336468129571,22.422841865071593,21.0,UACQR-P,0.9012539184952978,36.71639372742401,0.8897596656217346,36.69924449411255,16.0
yacht,Tube Loss,0.9193548387096774,50.92356872558594,0.8870967741935484,50.990638732910156,,Pinball Loss,0.8064516129032258,39.5994873046875,0.9516129032258065,39.105350494384766,
yacht,TCQR,0.9193548387096774,50.914424896240234,0.8870967741935484,50.98149490356445,-0.004572629928588867,CQR,0.9193548387096774,41.03257751464844,0.967741935483871,40.5384407043457,0.7165467739105225
yacht,TCQR-r,0.9193548387096774,50.91451644897461,0.8870967741935484,50.98157501220703,-8.891567995306104e-05,CQR-r,0.9193548387096774,41.021522521972656,0.967741935483871,40.50965118408203,0.017955293878912926
yacht,UATCQR-S,0.9193548387096774,50.90789739942496,0.8870967741935484,50.975565805145564,-0.00736756871089316,UACQR-S,0.9193548387096774,43.237009387488754,0.9516129032258065,42.590866813519554,1.0826629067871305
yacht,UATCQR-P,0.9193548387096774,53.55259039813294,0.967741935483871,53.45424166825283,47.0,UACQR-P,1.0,inf,1.0,inf,51.0
